iter	MultiClass
0	1.322737795
1	1.267507838
2	1.221381478
3	1.182598543
4	1.14747405
5	1.118856272
6	1.093343861
7	1.072089133
8	1.052780373
9	1.037603886
10	1.020957393
11	1.006793632
12	0.9929399609
13	0.9796814594
14	0.9688911823
15	0.9588614029
16	0.9494965093
17	0.9402731703
18	0.9317367678
19	0.9243808226
20	0.9156927421
21	0.9080942946
22	0.900271889
23	0.8941678898
24	0.8885884352
25	0.8820138505
26	0.8758938415
27	0.8709660539
28	0.8657781823
29	0.8608003889
30	0.8564005257
31	0.8520549731
32	0.8483841831
33	0.8442931654
34	0.8416556722
35	0.8367677817
36	0.8311449759
37	0.827616416
38	0.8241775993
39	0.8188249179
40	0.8147228175
41	0.8119016268
42	0.8092614194
43	0.8063270101
44	0.8019780858
45	0.7984792741
46	0.7953784688
47	0.7924400587
48	0.789964299
49	0.7867805608
50	0.7830113042
51	0.7800721151
52	0.7775825683
53	0.7743538769
54	0.7703001493
55	0.7674523424
56	0.7649274156
57	0.7612698335
58	0.7578557463
59	0.7543612828
60	0.7523518638
61	0.7501823862
62	0.7471691742
63	0.7446013303
64	0.7418591176
65	0.740118923
66	0.7380398581
67	0.7355278993
68	0.7341373363
69	0.7322135155
70	0.7296760195
71	0.7266885856
72	0.7250259279
73	0.7220713138
74	0.7201466966
75	0.7179024803
76	0.7157419679
77	0.7135662239
78	0.7109453667
79	0.7090880256
80	0.7062337958
81	0.7043160956
82	0.70092746
83	0.6986334847
84	0.696744815
85	0.6949610506
86	0.6930928197
87	0.6913539107
88	0.6875617097
89	0.6853044438
90	0.6832837614
91	0.6808404428
92	0.6795874789
93	0.6774474662
94	0.6752436642
95	0.6730440632
96	0.6707960945
97	0.6684621939
98	0.6663503144
99	0.6649210346
100	0.6635438812
101	0.6605433624
102	0.6590070846
103	0.6560140168
104	0.6519283096
105	0.6503497896
106	0.648794198
107	0.6469195693
108	0.6449658202
109	0.643242003
110	0.6413114582
111	0.6394636548
112	0.637179557
113	0.6355153553
114	0.6322082188
115	0.630329178
