iter	Passed	Remaining
0	126	126513
1	145	72627
2	167	55613
3	186	46478
4	205	40853
5	222	36874
6	239	33917
7	265	32913
8	286	31559
9	305	30267
10	319	28704
11	333	27470
12	347	26351
13	361	25460
14	375	24648
15	388	23903
16	402	23293
17	416	22713
18	429	22173
19	443	21719
20	456	21271
21	470	20910
22	484	20601
23	497	20243
24	511	19934
25	524	19666
26	539	19426
27	552	19166
28	564	18906
29	580	18771
30	595	18621
31	609	18442
32	623	18271
33	637	18110
34	650	17948
35	667	17881
36	680	17721
37	694	17591
38	708	17453
39	723	17363
40	740	17314
41	758	17300
42	778	17320
43	795	17280
44	811	17226
45	826	17148
46	841	17066
47	855	16961
48	870	16886
49	884	16800
50	898	16715
51	912	16636
52	926	16546
53	940	16472
54	953	16387
55	968	16332
56	983	16264
57	997	16196
58	1010	16124
59	1025	16066
60	1040	16009
61	1065	16122
62	1081	16080
63	1096	16029
64	1111	15987
65	1126	15946
66	1144	15931
67	1159	15897
68	1176	15874
69	1192	15838
70	1209	15821
71	1226	15803
72	1241	15764
73	1259	15757
74	1275	15735
75	1292	15712
76	1309	15692
77	1325	15670
78	1343	15658
79	1359	15635
80	1375	15611
81	1393	15597
82	1408	15563
83	1424	15529
84	1439	15494
85	1453	15447
86	1465	15384
87	1479	15329
88	1494	15293
89	1507	15241
90	1520	15186
91	1534	15142
92	1547	15089
93	1560	15038
94	1573	14991
95	1587	14950
96	1600	14895
97	1613	14851
98	1626	14802
99	1639	14757
100	1652	14706
101	1665	14667
102	1678	14615
103	1691	14576
104	1706	14543
105	1718	14494
106	1731	14447
107	1743	14403
108	1757	14364
109	1771	14331
110	1784	14288
111	1798	14259
112	1811	14217
113	1823	14175
114	1837	14143
115	1850	14101
116	1863	14062
117	1876	14028
118	1889	13991
119	1903	13957
120	1915	13917
121	1928	13875
122	1941	13841
123	1954	13810
124	1968	13782
125	1983	13756
126	1996	13723
127	2010	13694
128	2024	13668
129	2039	13647
130	2053	13621
131	2069	13605
132	2083	13581
133	2097	13557
134	2113	13544
135	2138	13585
136	2151	13553
137	2165	13526
138	2179	13500
139	2194	13482
140	2209	13458
141	2223	13433
142	2238	13416
143	2252	13389
144	2266	13365
145	2281	13343
146	2294	13316
147	2308	13292
148	2322	13266
149	2336	13237
150	2349	13211
151	2363	13186
152	2377	13161
153	2391	13139
154	2406	13120
155	2420	13097
156	2436	13082
157	2450	13057
158	2463	13031
159	2478	13009
160	2492	12989
161	2506	12966
162	2520	12941
163	2535	12926
164	2549	12904
165	2564	12883
166	2581	12874
167	2595	12854
168	2610	12834
169	2624	12813
170	2640	12799
171	2655	12782
172	2670	12764
173	2684	12742
174	2698	12721
175	2713	12704
176	2728	12686
177	2743	12667
178	2757	12646
179	2772	12630
180	2787	12610
181	2802	12596
182	2816	12573
183	2831	12558
184	2846	12538
185	2860	12520
186	2875	12501
187	2890	12485
188	2905	12465
189	2920	12449
190	2933	12425
191	2948	12408
192	2962	12388
193	2977	12370
194	2992	12354
195	3008	12340
196	3023	12324
197	3039	12311
198	3053	12292
199	3068	12273
200	3083	12256
201	3097	12238
202	3112	12219
203	3126	12198
204	3140	12177
205	3154	12157
206	3167	12132
207	3180	12110
208	3193	12088
209	3208	12068
210	3221	12047
211	3235	12026
212	3249	12007
213	3262	11984
214	3277	11966
215	3291	11946
216	3306	11931
217	3320	11911
218	3333	11887
219	3346	11865
220	3361	11850
221	3377	11834
222	3391	11816
223	3404	11794
224	3418	11776
225	3433	11758
226	3448	11741
227	3462	11725
228	3477	11709
229	3492	11691
230	3506	11673
231	3520	11655
232	3535	11637
233	3550	11621
234	3564	11602
235	3578	11584
236	3592	11565
237	3607	11550
238	3622	11535
239	3637	11519
240	3653	11505
241	3667	11487
242	3684	11476
243	3700	11464
244	3716	11451
245	3730	11435
246	3745	11419
247	3760	11402
248	3776	11388
249	3790	11371
250	3805	11356
251	3820	11340
252	3835	11326
253	3850	11308
254	3866	11294
255	3880	11279
256	3895	11261
257	3910	11246
258	3924	11228
259	3939	11213
260	3954	11196
261	3970	11184
262	3984	11166
263	3999	11148
264	4014	11134
265	4029	11119
266	4045	11106
267	4061	11093
268	4076	11077
269	4091	11061
270	4105	11043
271	4120	11027
272	4134	11010
273	4147	10989
274	4161	10972
275	4176	10954
276	4189	10934
277	4202	10914
278	4215	10893
279	4228	10873
280	4242	10854
281	4256	10837
282	4271	10821
283	4285	10803
284	4298	10783
285	4311	10762
286	4324	10742
287	4337	10723
288	4350	10703
289	4364	10685
290	4388	10691
291	4409	10690
292	4427	10684
293	4442	10667
294	4456	10649
295	4469	10631
296	4484	10615
297	4497	10594
298	4511	10576
299	4524	10556
300	4536	10535
301	4548	10513
302	4561	10493
303	4575	10475
304	4589	10459
305	4602	10438
306	4616	10419
307	4628	10399
308	4641	10379
309	4655	10361
310	4669	10345
311	4684	10329
312	4697	10309
313	4709	10289
314	4722	10269
315	4735	10250
316	4747	10228
317	4760	10210
318	4773	10191
319	4787	10173
320	4802	10158
321	4816	10141
322	4829	10122
323	4842	10103
324	4855	10084
325	4868	10065
326	4882	10048
327	4896	10031
328	4909	10013
329	4922	9994
330	4937	9978
331	4950	9960
332	4964	9944
333	4979	9928
334	4993	9913
335	5007	9895
336	5022	9880
337	5035	9863
338	5050	9847
339	5064	9830
340	5078	9813
341	5093	9798
342	5107	9782
343	5122	9768
344	5135	9750
345	5150	9735
346	5163	9716
347	5176	9698
348	5189	9679
349	5203	9663
350	5216	9645
351	5229	9627
352	5242	9609
353	5256	9592
354	5270	9575
355	5284	9560
356	5299	9545
357	5313	9528
358	5326	9510
359	5338	9491
360	5352	9474
361	5367	9459
362	5380	9441
363	5393	9423
364	5407	9407
365	5421	9391
366	5434	9372
367	5447	9356
368	5461	9339
369	5476	9324
370	5489	9307
371	5504	9293
372	5519	9277
373	5533	9262
374	5547	9245
375	5560	9227
376	5573	9210
377	5587	9193
378	5601	9178
379	5614	9160
380	5627	9142
381	5641	9126
382	5655	9110
383	5669	9094
384	5681	9076
385	5695	9059
386	5710	9045
387	5723	9027
388	5736	9009
389	5749	8992
390	5763	8976
391	5775	8958
392	5788	8940
393	5802	8924
394	5815	8907
395	5828	8889
396	5841	8872
397	5855	8856
398	5868	8838
399	5881	8822
400	5894	8805
401	5909	8790
402	5923	8774
403	5936	8757
404	5948	8739
405	5961	8722
406	5975	8705
407	5987	8688
408	6000	8670
409	6013	8653
410	6027	8637
411	6041	8621
412	6054	8605
413	6068	8589
414	6081	8572
415	6094	8556
416	6109	8542
417	6123	8526
418	6136	8509
419	6150	8494
420	6163	8476
421	6175	8458
422	6190	8444
423	6204	8429
424	6219	8414
425	6232	8398
426	6245	8381
427	6259	8364
428	6273	8349
429	6287	8334
430	6301	8318
431	6315	8304
432	6328	8287
433	6342	8271
434	6356	8256
435	6370	8240
436	6383	8224
437	6396	8207
438	6411	8192
439	6424	8176
440	6438	8160
441	6452	8145
442	6466	8129
443	6478	8113
444	6491	8096
445	6506	8081
446	6520	8066
447	6533	8050
448	6547	8034
449	6560	8018
450	6573	8001
451	6589	7988
452	6603	7973
453	6616	7957
454	6629	7941
455	6642	7924
456	6655	7908
457	6669	7892
458	6682	7875
459	6695	7860
460	6710	7845
461	6724	7830
462	6737	7814
463	6750	7798
464	6764	7782
465	6776	7765
466	6789	7748
467	6800	7731
468	6813	7714
469	6827	7699
470	6843	7686
471	6858	7672
472	6873	7658
473	6889	7645
474	6904	7631
475	6922	7621
476	6935	7604
477	6949	7589
478	6962	7572
479	6975	7557
480	6987	7539
481	7000	7523
482	7014	7508
483	7032	7497
484	7045	7481
485	7058	7465
486	7073	7450
487	7086	7434
488	7099	7418
489	7114	7405
490	7128	7389
491	7141	7373
492	7154	7357
493	7166	7340
494	7180	7325
495	7193	7309
496	7206	7293
497	7220	7278
498	7233	7262
499	7245	7245
500	7258	7229
501	7272	7214
502	7285	7198
503	7298	7182
504	7311	7167
505	7325	7152
506	7340	7137
507	7353	7122
508	7366	7105
509	7379	7089
510	7393	7074
511	7406	7059
512	7419	7043
513	7431	7027
514	7445	7011
515	7458	6995
516	7472	6980
517	7487	6966
518	7500	6951
519	7515	6937
520	7528	6921
521	7542	6906
522	7556	6891
523	7569	6875
524	7584	6861
525	7599	6847
526	7613	6833
527	7627	6818
528	7641	6803
529	7654	6788
530	7667	6772
531	7681	6757
532	7694	6741
533	7707	6725
534	7720	6710
535	7733	6694
536	7748	6680
537	7761	6664
538	7775	6650
539	7788	6634
540	7801	6618
541	7813	6602
542	7826	6587
543	7840	6571
544	7853	6556
545	7866	6540
546	7879	6525
547	7891	6509
548	7904	6493
549	7918	6478
550	7931	6463
551	7944	6447
552	7958	6433
553	7971	6417
554	7984	6402
555	7997	6386
556	8010	6370
557	8024	6356
558	8037	6341
559	8050	6325
560	8063	6309
561	8075	6294
562	8088	6278
563	8102	6263
564	8115	6247
565	8129	6233
566	8142	6218
567	8156	6203
568	8168	6187
569	8181	6172
570	8194	6156
571	8207	6141
572	8220	6126
573	8233	6110
574	8247	6095
575	8260	6080
576	8273	6065
577	8285	6049
578	8299	6034
579	8312	6019
580	8326	6005
581	8339	5989
582	8353	5974
583	8367	5960
584	8380	5945
585	8394	5930
586	8407	5915
587	8421	5900
588	8433	5884
589	8446	5869
590	8459	5854
591	8472	5839
592	8486	5824
593	8500	5809
594	8512	5794
595	8525	5779
596	8538	5764
597	8555	5751
598	8570	5737
599	8586	5724
600	8600	5709
601	8615	5695
602	8629	5681
603	8642	5666
604	8655	5651
605	8668	5635
606	8682	5621
607	8696	5606
608	8710	5592
609	8723	5577
610	8736	5562
611	8749	5546
612	8761	5531
613	8773	5515
614	8787	5501
615	8799	5485
616	8812	5470
617	8825	5455
618	8839	5440
619	8852	5425
620	8863	5409
621	8876	5394
622	8889	5379
623	8903	5364
624	8916	5349
625	8930	5335
626	8943	5320
627	8956	5305
628	8968	5290
629	8983	5275
630	8997	5261
631	9010	5246
632	9024	5232
633	9037	5216
634	9050	5202
635	9063	5187
636	9075	5171
637	9088	5156
638	9100	5141
639	9114	5126
640	9127	5111
641	9141	5097
642	9153	5082
643	9167	5067
644	9179	5052
645	9193	5037
646	9207	5023
647	9220	5008
648	9233	4993
649	9247	4979
650	9259	4964
651	9272	4949
652	9285	4934
653	9298	4919
654	9311	4904
655	9325	4890
656	9338	4875
657	9352	4860
658	9365	4846
659	9379	4831
660	9393	4817
661	9406	4802
662	9419	4788
663	9433	4773
664	9447	4759
665	9460	4744
666	9474	4730
667	9488	4715
668	9503	4701
669	9516	4687
670	9529	4672
671	9542	4657
672	9555	4642
673	9568	4627
674	9580	4612
675	9593	4598
676	9606	4583
677	9621	4569
678	9634	4554
679	9646	4539
680	9660	4525
681	9673	4510
682	9687	4496
683	9700	4481
684	9713	4466
685	9726	4452
686	9741	4438
687	9755	4423
688	9768	4409
689	9782	4394
690	9796	4380
691	9808	4365
692	9822	4351
693	9836	4337
694	9849	4322
695	9863	4308
696	9877	4293
697	9891	4279
698	9904	4265
699	9919	4251
700	9933	4236
701	9946	4222
702	9961	4208
703	9976	4194
704	9990	4180
705	10003	4165
706	10017	4151
707	10031	4137
708	10044	4122
709	10059	4108
710	10073	4094
711	10086	4079
712	10099	4065
713	10111	4050
714	10124	4035
715	10137	4021
716	10150	4006
717	10166	3993
718	10183	3979
719	10196	3965
720	10210	3951
721	10223	3936
722	10237	3922
723	10251	3908
724	10265	3893
725	10279	3879
726	10292	3864
727	10305	3850
728	10318	3835
729	10331	3821
730	10343	3806
731	10356	3791
732	10370	3777
733	10383	3762
734	10395	3748
735	10408	3733
736	10421	3719
737	10434	3704
738	10448	3690
739	10462	3676
740	10476	3661
741	10489	3647
742	10503	3633
743	10517	3618
744	10531	3604
745	10544	3590
746	10559	3576
747	10573	3562
748	10588	3548
749	10602	3534
750	10616	3520
751	10629	3505
752	10641	3490
753	10655	3476
754	10669	3462
755	10682	3447
756	10694	3433
757	10707	3418
758	10721	3404
759	10735	3390
760	10747	3375
761	10760	3360
762	10773	3346
763	10787	3332
764	10800	3317
765	10813	3303
766	10826	3288
767	10840	3274
768	10853	3260
769	10867	3246
770	10880	3231
771	10894	3217
772	10908	3203
773	10920	3188
774	10935	3174
775	10949	3160
776	10962	3146
777	10976	3132
778	10990	3117
779	11003	3103
780	11017	3089
781	11030	3075
782	11044	3060
783	11058	3046
784	11072	3032
785	11086	3018
786	11099	3004
787	11112	2989
788	11127	2975
789	11141	2961
790	11155	2947
791	11169	2933
792	11184	2919
793	11198	2905
794	11211	2891
795	11224	2876
796	11237	2862
797	11250	2847
798	11263	2833
799	11277	2819
800	11290	2805
801	11302	2790
802	11314	2775
803	11326	2761
804	11339	2746
805	11353	2732
806	11366	2718
807	11380	2704
808	11393	2689
809	11407	2675
810	11420	2661
811	11434	2647
812	11449	2633
813	11463	2619
814	11478	2605
815	11492	2591
816	11505	2577
817	11518	2562
818	11532	2548
819	11546	2534
820	11559	2520
821	11574	2506
822	11587	2492
823	11600	2477
824	11612	2463
825	11624	2448
826	11637	2434
827	11649	2419
828	11662	2405
829	11676	2391
830	11690	2377
831	11703	2363
832	11716	2348
833	11728	2334
834	11741	2320
835	11755	2306
836	11767	2291
837	11780	2277
838	11793	2263
839	11806	2248
840	11820	2234
841	11833	2220
842	11846	2206
843	11858	2191
844	11872	2177
845	11886	2163
846	11900	2149
847	11913	2135
848	11927	2121
849	11940	2107
850	11952	2092
851	11965	2078
852	11978	2064
853	11991	2050
854	12005	2036
855	12019	2021
856	12033	2007
857	12046	1993
858	12060	1979
859	12074	1965
860	12088	1951
861	12102	1937
862	12118	1923
863	12131	1909
864	12145	1895
865	12159	1881
866	12174	1867
867	12189	1853
868	12202	1839
869	12215	1825
870	12228	1811
871	12241	1796
872	12255	1782
873	12269	1768
874	12282	1754
875	12296	1740
876	12309	1726
877	12323	1712
878	12336	1698
879	12349	1684
880	12363	1669
881	12376	1655
882	12389	1641
883	12402	1627
884	12415	1613
885	12430	1599
886	12443	1585
887	12456	1571
888	12470	1556
889	12482	1542
890	12497	1528
891	12511	1514
892	12525	1500
893	12538	1486
894	12551	1472
895	12565	1458
896	12578	1444
897	12591	1430
898	12604	1416
899	12617	1401
900	12629	1387
901	12643	1373
902	12656	1359
903	12669	1345
904	12686	1331
905	12700	1317
906	12714	1303
907	12727	1289
908	12741	1275
909	12753	1261
910	12767	1247
911	12782	1233
912	12796	1219
913	12810	1205
914	12825	1191
915	12838	1177
916	12852	1163
917	12867	1149
918	12879	1135
919	12893	1121
920	12907	1107
921	12921	1093
922	12934	1079
923	12947	1064
924	12962	1051
925	12975	1036
926	12989	1022
927	13002	1008
928	13016	994
929	13028	980
930	13041	966
931	13053	952
932	13066	938
933	13079	924
934	13095	910
935	13108	896
936	13121	882
937	13134	868
938	13147	854
939	13160	840
940	13172	825
941	13184	811
942	13197	797
943	13211	783
944	13224	769
945	13237	755
946	13250	741
947	13263	727
948	13275	713
949	13288	699
950	13301	685
951	13314	671
952	13327	657
953	13341	643
954	13355	629
955	13369	615
956	13381	601
957	13393	587
958	13408	573
959	13421	559
960	13434	545
961	13447	531
962	13460	517
963	13473	503
964	13489	489
965	13504	475
966	13518	461
967	13531	447
968	13545	433
969	13559	419
970	13572	405
971	13586	391
972	13598	377
973	13612	363
974	13625	349
975	13659	335
976	13683	322
977	13704	308
978	13723	294
979	13740	280
980	13757	266
981	13770	252
982	13784	238
983	13799	224
984	13813	210
985	13826	196
986	13839	182
987	13852	168
988	13865	154
989	13877	140
990	13890	126
991	13904	112
992	13918	98
993	13932	84
994	13947	70
995	13960	56
996	13975	42
997	13989	28
998	14003	14
999	14017	0
